id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1498037766747217923,1498037766747217923,2022-02-28 02:20:10 India Standard Time,2022-02-28,02:20:10,+0530,1395342261836259329,investproton,Proton Invest,,"Ukraine, Bitcoin, and the 'World's First Crypto War' - Decrypt  https://t.co/7qrQADJIbl",en,[],['https://decrypt.co/93898/ukraine-bitcoin-war'],[],0,0,0,[],[],https://twitter.com/InvestProton/status/1498037766747217923,False,,0,,,,,,,,[],,,,
1498037523813224448,1498037523813224448,2022-02-28 02:19:12 India Standard Time,2022-02-28,02:19:12,+0530,7179562,netizenkane,NETIZEN KANE,,"Ukraine, Bitcoin, and the 'World's First Crypto War' - Decrypt  https://t.co/BXPhOBsFjv",en,[],['https://decrypt.co/93898/ukraine-bitcoin-war'],[],0,0,0,[],[],https://twitter.com/NetizenKane/status/1498037523813224448,False,,0,,,,,,,,[],,,,
1498037317847638019,1498037317847638019,2022-02-28 02:18:23 India Standard Time,2022-02-28,02:18:23,+0530,1415821900513611776,bitcoinnchill,Bitcoin & Chill,,People of #Ukraine: Get to safety then put everything you can into #Bitcoin so your economic power can go with you wherever you need to go.   #UkraineRussiaWar #RussiaUkraine #Ukrania #UkraineUnderAttack #UkraineWar #UkraineRussia #Ukrainian #Zelensky #Zelenskyy,en,[],[],[],0,0,1,"['ukraine', 'bitcoin', 'ukrainerussiawar', 'russiaukraine', 'ukrania', 'ukraineunderattack', 'ukrainewar', 'ukrainerussia', 'ukrainian', 'zelensky', 'zelenskyy']",[],https://twitter.com/BitcoinNChill/status/1498037317847638019,False,,0,,,,,,,,[],,,,
1498036103059853318,1498036103059853318,2022-02-28 02:13:33 India Standard Time,2022-02-28,02:13:33,+0530,1489002397125029890,futureistody,𝗙𝘂𝘁𝘂𝗿𝗲 𝗶𝘀 𝗻𝗼𝘄 🐳,,JUST IN: The two 🇩🇰Danish journalists who bought a car using #Bitcoin to cover the war have reportedly been shot and injured in eastern 🇺🇦Ukraine.,en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/Futureistody/status/1498036103059853318,False,,0,,,,,,,,[],,,,
1498034742897242112,1498034742897242112,2022-02-28 02:08:09 India Standard Time,2022-02-28,02:08:09,+0530,31380152,abhinavbom,abhinav singh,,"#Ukraine, #Bitcoin, and the 'World's First Crypto War' (via @decryptmedia)  https://t.co/JS5lKu011P",en,"[{'screen_name': 'decryptmedia', 'name': 'decrypt', 'id': '993530753014054912'}]",['https://decrypt.co/93898/ukraine-bitcoin-war'],[],0,0,0,"['ukraine', 'bitcoin']",[],https://twitter.com/abhinavbom/status/1498034742897242112,False,,0,,,,,,,,[],,,,
1498085411352035329,1498085411352035329,2022-02-28 05:29:29 India Standard Time,2022-02-28,05:29:29,+0530,210957778,nft__scott,Scott,,Over $4.3 million in bitcoin has been donated for the #Ukraine army 🇺🇦 This is just the beginning and decentralised finance proves to be very useful in times of war. 🙏🏻  https://t.co/HO28UYlvCp,en,[],[],['https://pbs.twimg.com/media/FMpEH5uXwAci0z-.jpg'],0,0,3,['ukraine'],[],https://twitter.com/nft__scott/status/1498085411352035329,False,,1,https://pbs.twimg.com/media/FMpEH5uXwAci0z-.jpg,,,,,,,[],,,,
1498084499745390593,1498084499745390593,2022-02-28 05:25:52 India Standard Time,2022-02-28,05:25:52,+0530,1415239840870797314,bit2mainnet,bit2main,,"Experts think the Russo-Ukraine war has brought bitcoin to its knees earlier than expected, with a bear market already in place.Experts have cast doubt on cryptocurrency’s ability to weather global storms in the wake of the Ukraine-Russia conflict.  #   https://t.co/DsLer5Jilr",en,[],['https://bit.ly/3pj7e4v'],[],0,0,0,[],[],https://twitter.com/Bit2mainNet/status/1498084499745390593,False,,0,,,,,,,,[],,,,
1498084192114122758,1498084192114122758,2022-02-28 05:24:39 India Standard Time,2022-02-28,05:24:39,+0530,1357520530228736002,cryptonews10_10,Crypto News 10,,"Bitcoin price: Cryptocurrency plunges as Russia-Ukraine conflict escalates, fears of bear market Experts think the Russo-Ukraine war has brought bitcoin to its knees earlier than expected, with a bear market already in place.Experts   https://t.co/8ca9b1GdeK",en,[],['https://bit.ly/3hu8JIN'],[],0,0,0,[],[],https://twitter.com/cryptonews10_10/status/1498084192114122758,False,,0,,,,,,,,[],,,,
1498083700931715073,1498083700931715073,2022-02-28 05:22:42 India Standard Time,2022-02-28,05:22:42,+0530,80049850,oriactech,Ernie Puglisi,,"Ukraine, Bitcoin, and the 'World's First Crypto War' (via @decryptmedia)  https://t.co/VM9GDm6zcW",en,"[{'screen_name': 'decryptmedia', 'name': 'decrypt', 'id': '993530753014054912'}]",['https://decrypt.co/93898/ukraine-bitcoin-war'],[],0,0,0,[],[],https://twitter.com/OriacTech/status/1498083700931715073,False,,0,,,,,,,,[],,,,
1498082819356065793,1498082819356065793,2022-02-28 05:19:11 India Standard Time,2022-02-28,05:19:11,+0530,14485211,hemry,Brood o'er us,,"Meanwhile, the BBC reports Ukraine has received at least $11 million in anonymous bitcoin donations to support its war effort — with Forbes noting that includes $1.9 million from a wallet also associated with an auction of NFTs raising funds for WikiLeaks founder Julian Assange.",en,[],[],[],1,0,1,[],[],https://twitter.com/Hemry/status/1498082819356065793,False,,0,,,,,,,,[],,,,
